id,rle_mask
e77611a140,2728 8 2829 11 2930 13 3031 16 3132 19 3233 33 3334 36 3435 39 3536 43 3637 45 3738 48 3839 50 3940 52 4041 54 4142 55 4243 55 4344 56 4445 57 4546 58 4647 59 4748 60 4849 63 4950 65 5051 67 5152 70 5253 73 5354 75 5455 77 5556 78 5657 79 5758 80 5859 81 5960 83 6061 84 6162 86 6263 88 6364 90 6465 94 6566 98 6667 100 6768 3434
e3134028ed,40 62 140 63 240 64 342 63 443 63 544 63 645 63 746 63 847 63 948 63 1050 62 1152 61 1253 61 1355 60 1456 60 1558 59 1659 59 1761 58 1862 58 1964 57 2066 56 2169 54 2270 54 2372 53 2474 52 2575 52 2676 52 2778 51 2880 50 2981 50 3083 49 3184 49 3286 48 3387 48 3489 47 3590 47 3692 46 3794 45 3897 43 4000 41 4102 40 4204 39 4307 37 4409 36 4511 35 4614 33 4717 31 4821 28 4925 25 5030 21 5133 19 5237 16 5341 13 5444 11 5547 9 5651 6
0f9ef8df38,
15b7f06ba0,59 43 160 43 260 44 361 44 461 45 561 46 662 46 762 47 863 47 963 48 1064 48 1164 49 1265 49 1366 49 1467 49 1568 49 1669 49 1770 49 1870 50 1971 50 2071 51 2172 51 2272 52 2373 52 2473 53 2573 54 2673 55 2774 55 2874 56 2974 57 3074 58 3175 58 3275 59 3375 60 3475 61 3575 62 3675 63 3774 65 3873 67 3972 69 4072 70 4171 72 4270 74 4369 76 4468 78 4567 80 4666 82 4765 84 4864 86 4964 87 5064 88 5164 89 5265 89 5366 89 5467 89 5568 89 5669 89 5770 89 5871 89 5973 88 6075 87 6177 86 6279 85 6382 83 6485 81 6587 80 6688 80 6790 79 6891 79 6992 79 7092 80 7193 80 7294 80 7394 81 7495 81 7596 81 7697 81 7798 81 7900 80 8001 80 8102 80 8202 81 8303 81 8404 81 8505 81 8606 81 8708 80 8809 80 8910 80 9011 80 9111 81 9212 81 9313 81 9413 82 9514 82 9615 82 9715 83 9816 83 9917 83 10018 83 10119 83
1630eeba83,
059ae59b4f,8879 9 8975 15 9070 21 9163 29 9260 33 9356 38 9453 42 9551 45 9649 48 9747 51 9848 51 9948 52 10048 53 10149 53
2cf988af12,
bae698239d,
7b9a3b1da0,1 1716 1718 98 1819 96 1920 95 2021 94 2122 92 2223 90 2324 88 2425 86 2526 84 2627 83 2728 82 2829 81 2930 80 3031 79 3132 77 3233 75 3334 71 3435 69 3536 67 3637 64 3738 62 3839 58 3940 54 4041 51 4142 48 4243 46 4344 44 4445 42 4546 40 4647 38 4748 36 4849 34 4950 32 5051 30 5152 29 5253 28 5354 27 5455 25 5556 24 5657 23 5758 21 5859 20 5960 18 6061 17 6162 16 6263 15 6364 13 6465 12 6566 11 6667 10 6768 9 6869 8 6970 7
35714fa202,4 98 104 99 205 99 307 98 409 97 510 97 612 96 714 95 816 94 918 93 1020 92 1123 90 1226 88 1328 87 1431 85 1534 83 1637 81 1740 79 1843 77 1946 75 2048 74 2151 72 2253 71 2356 69 2459 67 2561 66 2665 63 2768 61 2873 57 2976 55 3080 52 3184 49 3287 47 3390 45 3495 41 3599 38 3705 33 3809 30 3912 28 4014 27 4116 26 4219 24 4321 23 4424 21 4526 20 4629 18 4731 17 4833 16 4936 14 5038 13 5140 12 5241 12 5343 11 5444 11 5546 10 5647 10 5749 9 5850 9 5952 8 6055 6 6158 4 6261 2 8786 2 8886 3 8987 3 9086 5 9185 7 9285 8 9385 9 9485 10 9585 11 9684 13 9784 14 9884 15 9985 15 10085 16 10186 16
dad62e6cd7,38 64 139 64 239 65 339 66 440 66 540 67 640 68 740 69 840 70 940 71 1040 72 1140 73 1240 74 1340 75 1439 77 1539 78 1639 79 1739 80 1838 82 1938 83 2038 84 2137 86 2236 88 2336 89 2436 90 2536 91 2636 92 2737 92 2837 93 2937 94 3038 94 3138 95 3239 95 3340 95 3441 95 3543 94 3645 93 3746 93 3848 92 3950 91 4051 91 4152 91 4252 92 4353 92 4453 93 4554 93 4653 95 4752 97 4851 5351
33cb556649,
bc7471a6c2,1 7 102 7 203 8 304 8 405 10 506 11 607 13 708 14 809 15 910 16 1011 17 1112 17 1213 18 1314 19 1415 20 1516 22 1617 23 1718 24 1819 25 1920 26 2021 27 2122 28 2223 29 2324 30 2425 32 2526 33 2627 34 2728 35 2829 37 2930 39 3031 41 3132 43 3233 46 3334 48 3435 50 3536 52 3637 54 3738 57 3839 61 3940 63 4041 65 4142 66 4243 68 4344 69 4445 70 4546 72 4647 74 4748 77 4849 82 4950 87 5051 91 5152 93 5253 95 5354 98 5455 100 5556 4646
54319ceb3d,1 95 102 96 203 96 304 96 405 95 506 95 607 96 708 96 809 97 910 97 1011 99 1112 2625 3738 98 3839 97 3940 96 4041 96 4142 96 4243 96 4344 96 4445 96 4546 95 4647 94 4748 93 4849 92 4950 90 5051 89 5152 87 5253 84 5354 81 5455 78 5556 77 5657 75 5758 73 5859 72 5960 71 6061 69 6169 61 6298 31 6414 13
6e37ae1fde,
1190a333a3,1 12 102 14 203 15 304 15 405 15 506 15 607 14 708 13 809 11 911 9 1015 4 1117 1 5244 5 5251 1 5343 11 5438 17 5532 24 5629 28 5728 30 5821 38 5913 47 6010 51 6102 60 6163 7 6192 81 6289 91 6388 96 6487 3715
394f8072bb,1 4847 4849 99 4950 95 5051 91 5152 87 5253 84 5354 80 5455 78 5556 75 5657 71 5758 67 5859 63 5960 59 6061 56 6162 52 6263 47 6364 43 6465 39 6566 36 6667 32 6768 27 6869 23 6970 18 7072 12
ff06094492,
7959b9bd53,
d547702609,
b1f47c5be7,1 2616 2627 78 2728 71 2829 60 2930 45 3031 39 3132 23 3233 18 3334 12 3436 7
29a3dc18b0,58 44 159 44 260 44 362 43 463 43 565 42 666 42 768 41 869 41 970 41 1071 41 1172 41 1274 40 1375 40 1477 39 1578 39 1679 39 1781 38 1882 38 1984 37 2086 36 2187 36 2289 35 2390 35 2492 34 2593 34 2694 34 2795 34 2896 34 2998 33 3099 33 3200 33 3301 33 3403 32 3504 32 3605 32 3707 31 3809 30 3910 30 4012 29 4114 28 4215 28 4317 27 4418 27 4520 26 4621 26 4722 26 4824 25 4925 25 5027 24 5128 24 5229 24 5330 24 5431 24 5532 24 5633 24 5734 24 5834 25 5935 25 6036 25 6137 25 6238 25 6338 26 6439 26 6539 27 6640 27 6741 27 6842 27 6943 27 7044 27 7146 26 7247 26 7349 25 7451 24 7552 24 7654 23 7756 22 7858 21 7960 20 8062 19 8163 19 8265 18 8367 17 8468 17 8570 16 8671 16 8772 16 8874 15 8975 15 9076 15 9177 15 9278 15 9379 15 9480 15 9581 15 9682 15 9783 15 9884 15 9985 15 10087 14 10188 14
1fcb42b90e,
d42e7ee9cd,2010 9 2104 18 2197 26 2294 30 2389 36 2484 42 2576 51 2671 57 2769 60 2864 66 2960 71 3056 76 3151 82 3246 88 3337 6158 9498 98 9601 96 9704 94 9806 93 9907 93 10009 92 10111 91
d3d7b32db0,3839 6 3940 9 4041 12 4142 15 4243 18 4344 28 4445 31 4546 33 4647 34 4748 35 4849 35 4950 36 5051 36 5152 36 5253 36 5354 35 5455 34 5556 33 5657 32 5758 31 5859 31 5960 30 6061 30 6162 30 6263 30 6364 30 6465 30 6566 30 6667 30 6768 30 6869 30 6970 30 7071 29 7172 29 7273 30 7374 30 7475 31 7576 31 7677 31 7778 31 7879 31 7980 31 8081 31 8182 31 8283 31 8384 30 8485 30 8586 30 8687 30 8788 31 8889 31 8990 32 9091 32 9192 33 9293 33 9394 34 9495 34 9596 34 9697 33 9798 33 9899 32 10000 32 10101 31
eccb63f909,
5432daa68e,4339 4 4439 6 4538 8 4638 9 4738 10 4839 10 4938 12 5037 14 5133 19 5229 24 5323 31 5418 37 5512 44 5609 48 5706 52 5803 56 5898 62 5993 68 6087 75 6182 81 6268 3934
2d7e704551,
